TRACKINGNUMBER,ORDERNUMBER,DATE,RECEIVER,COST,WEIGHT,RECEIVERORDERNUMBER
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321773,,,,,
1Z9842480340859608,321637-1,,,,,
1Z9842480340859608,321497-1,,,,,
1Z9842480340859608,321774-1,,,,,
1Z9842480340859608,321773-1,,,,,
1Z9842480340859608,322008,,,,,
1Z9842480340859608,318479-5,,,,,
1Z9842480340859608,321968,,,,,
1Z9842480340859608,321969,,,,,
1Z9842480340859608,321015-1,,,,,
1Z9842480340859608,322009,,,,,
1Z9842480340859608,321967,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321773,,,,,
1Z9842480342679577,321637-1,,,,,
1Z9842480342679577,321497-1,,,,,
1Z9842480342679577,321774-1,,,,,
1Z9842480342679577,321773-1,,,,,
1Z9842480342679577,322008,,,,,
1Z9842480342679577,318479-5,,,,,
1Z9842480342679577,321968,,,,,
1Z9842480342679577,321969,,,,,
1Z9842480342679577,321015-1,,,,,
1Z9842480342679577,322009,,,,,
1Z9842480342679577,321967,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,321970,,,,,
1Z9842480341631717,320671-1,,,,,
1Z9842480341631717,321299-2,,,,,
1Z9842480341631717,314026,,,,,
1Z9842480341631717,320343-1,,,,,
1Z9842480341631717,314485,,,,,
1Z9842480341631717,320048-4,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,321974,,,,,
1Z9842480342012241,314027,,,,,
1Z9842480342012241,312437-4,,,,,
1Z9842480342012241,317218-7,,,,,
1Z9842480342012241,312772-6,,,,,
1Z9842480342012241,320052-4,,,,,
1Z9842480342012241,321606-2,,,,,
1Z9842480342012241,321185-1,,,,,
1Z9842480342012241,320346-4,,,,,
1Z9842480342012241,320674-3,,,,,
1Z9842480342012241,321973,,,,,
1Z9842486641367494,322091,,,,,
1Z9842480340468110,322260,,,,,
1Z9842480341555327,322261,,,,,
1Z9842480341875133,322208,,,,,
1Z9842486640879531,321737,,,,,
1Z9842480441347587,320893,,,,,
1Z9842480441347587,320893,,,,,
1Z9842480340735661,322298,,,,,
1Z9842480340735661,322299-1,,,,,
1Z9842480340735661,320670-1,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340735661,322299,,,,,
1Z9842480340235031,322302,,,,,
1Z9842480340235031,322302,,,,,
1Z9842480340235031,322302,,,,,
1Z9842480340235031,322302,,,,,
1Z9842480340235031,322302,,,,,
1Z9842480340235031,322302-1,,,,,
1Z9842480340235031,321974-1,,,,,
1Z9842480340235031,321303-3,,,,,
1Z9842480340235031,321606-3,,,,,
1Z9842480340235031,320051-5,,,,,
1Z9842480340235031,320675-2,,,,,
1Z9842480340235031,321021-2,,,,,
1Z9842480340235031,321185-2,,,,,
1Z9842480340235031,319739-3,,,,,
1Z9842480340235031,319450-2,,,,,
1Z9842480340235031,322303,,,,,
1Z9842480340235031,322303,,,,,
1Z9842486642730651,322489,,,,,
1Z9842486840715454,322767,,,,,
1Z9842486840715454,322767,,,,,
1Z9842486840715454,322767,,,,,
1Z9842480341858554,322588,,,,,
1Z9842480341858554,322588,,,,,
1Z9842480341858554,322588,,,,,
1Z9842480341858554,322588,,,,,
1Z9842480341858554,322588,,,,,
1Z9842480341858554,322588-1,,,,,
1Z9842480341858554,321602-2,,,,,
1Z9842480341858554,321970-1,,,,,
1Z9842480341858554,322299-2,,,,,
1Z9842480342902646,319917-1,,,,,
1Z9842480342902646,322590,,,,,
1Z9842480342902646,320674-4,,,,,
1Z9842480342902646,320346-5,,,,,
1Z9842480342902646,320052-5,,,,,
1Z9842480342902646,320675-3,,,,,
1Z9842480342902646,321776-1,,,,,
1Z9842480342902646,321606-4,,,,,
1Z9842480342902646,322303-1,,,,,
1Z9842480342902646,322591-1,,,,,
1Z9842480342902646,322302-2,,,,,
1Z9842480342902646,321974-2,,,,,
1Z9842480342902646,321973-1,,,,,
1Z9842480342902646,322591,,,,,
1Z9842480342902646,322591,,,,,
1Z9842480342902646,322591,,,,,
1Z9842480342902646,322591,,,,,
1Z9842480342902646,322591,,,,,
1Z9842480340218103,323018,,,,,
1Z9842480342274736,323146,,,,,
1Z9842480340696249,322936,,,,,
1Z9842480340696249,322303-2,,,,,
1Z9842480340696249,321974-3,,,,,
1Z9842480340696249,322938,,,,,
1Z9842480340696249,319739-4,,,,,
1Z9842480340696249,322591-2,,,,,
1Z9842480340696249,322590-1,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842480340696249,322937,,,,,
1Z9842486841014601,323282,,,,,
1Z9842480341537865,323449,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480340855371,323265,,,,,
1Z9842480341543796,321299-3,,,,,
1Z9842480341543796,321602-3,,,,,
1Z9842480341543796,322935-1,,,,,
1Z9842480341543796,322588-2,,,,,
1Z9842480341543796,321970-2,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341543796,323263,,,,,
1Z9842480341423951,321303-4,,,,,
1Z9842480341423951,322937-1,,,,,
1Z9842480341423951,322936-1,,,,,
1Z9842480341423951,322591-3,,,,,
1Z9842480341423951,321974-4,,,,,
1Z9842480341423951,322302-3,,,,,
